"","skclnt","skitem","buyer_num","buyer_name","po_number","ndc","item_description","vendor_number","vendor_name","ship_point","sub_group","actual_leadtime","order_date","receipt_date","sku_lt_orderdate","relationship_lt_orderdate","realtionship_lt_today","order_qty","total_receipt_qty","purchasing_team","orderdate_aa_code","bypass_lt","gen_nam","card_gcn_id","card_gen_ind_desc","ahfs_desc","fin_flag","fin_flag_gcn","source_type","nlc_type_desc","accunet","card_sbst_key_id","pack_qty","cvs_formulary_a_b_d","cvs_segment","sku","snapshot_date","skfcst","skappc"
"3193","099D","1494681","630","CODY DIERCKS","4374827","00228206910","OXAZEPAM 15MG 100 C4","02543","TEVA PHARMA CS","","",7,2021-09-02,2021-09-09,4.83,6,6,192,192,"Generics","0","Y","OXAZEPAM","14231","GENERIC DRUG","BENZODIAZEPINES (ANXIOLYTIC,SEDATIV/HYP)","2","yes","SOURCE A - IN SCOPE","CENTRALIZED",100,"14231004",1,"PRIMARY, PRIMARY, PRIMARY","WH, WH, WH","1494681099D",2021-11-01,99.04,121.21
"3194","064D","5589981","628","JEANNINE ROGERS","0371491","10702027703","LEFLUNOMIDE 10MG 30","09283","KVK TECH INC CS","","",1,2021-06-21,2021-06-22,1,8,8,24,24,"Generics","0","N","LEFLUNOMIDE","67031","GENERIC DRUG","DISEASE-MODIFYING ANTIRHEUMATIC AGENTS","2","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",30,"67031000",1,"NO FORM, NO FORM, SECONDARY","WH, WH, WH","5589981064D",2021-11-01,48.94,20
"3195","064D","5598214","699","NO BUYER ASSIGNED","0369703","69315031228","PROCTO-MED HC 2.5% 28GM","11002","LEADING PHARMA LLC CS NCB","","",8,2021-05-24,2021-06-01,7.37,9,1,1728,1728,"MISC","0","N","HYDROCORTISONE","28850","GENERIC DRUG","CORTICOSTEROIDS (SKIN, MUCOUS MEMBRANE)","4","yes","SOURCE A - IN SCOPE","CENTRALIZED",30,"28850000",1,NA,"WH, WH, WH","5598214064D",2021-11-01,1070.11,70
"3196","064D","5014675","627","LISA POSTON","4437369","53746014501","HYDROCOD/IBU 7.5-200 100 C2","04511","AMNEAL PHARMACEUTICALS LLC CS","KY","OPIOID",3,2021-10-11,2021-10-14,3,3,2,48,48,"Generics","0","N","HYDROCOD/IBUPROFEN","63101","GENERIC DRUG","OPIATE AGONISTS","2","yes","SOURCE A - IN SCOPE","CENTRALIZED",100,"63101001",1,"PRIMARY, PRIMARY, PRIMARY","C2, C2, C2","5014675064D",2021-11-01,42.11,49.95
"3197","016D","5673199","632","ADAM STEMM","4228186","70756021590","FENOFIBRATE 160MG 90","57201","LIFESTAR PHARMA LLC CS","","",3,2021-06-07,2021-06-10,4.4,7,7,60,60,"Generics","0","N","FENOFIBRATE","12595","GENERIC DRUG","FIBRIC ACID DERIVATIVES","2","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",90,"12595000",1,NA,"WH, WH, WH","5673199016D",2021-11-01,79.24,55.8
"3198","008D","5654397","627","LISA POSTON","4306521","51293064701","BETHANECHOL 25MG 100","10666","ECI PHARMACEUTICALS LLC CS","","",11,2021-07-26,2021-08-06,4.84,7,7,24,24,"Generics","996","Y","BETHANECHOL CHLORIDE","18352","GENERIC DRUG","PARASYMPATHOMIMETIC (CHOLINERGIC AGENTS)","2","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",100,"18352002",1,NA,"WH, WH, WH","5654397008D",2021-11-01,48.42,45.57
"3199","098D","5607486","630","CODY DIERCKS","4286292","50111045001","TRAZODONE 150MG 100","02543","TEVA PHARMA CS","","",7,2021-07-12,2021-07-19,5.27,7,7,384,384,"Generics","0","N","TRAZODONE HCL","16393","GENERIC DRUG","ANTIDEPRESSANTS, MISCELLANEOUS","4","yes","SOURCE A - IN SCOPE","CENTRALIZED",100,"16393000",1,"PRIMARY, PRIMARY, NO FORM","WH, WH, WH","5607486098D",2021-11-01,536.87,36.1
"3200","064D","5609243","633","CAMERON HOWARD","0370132","69097052934","ESOMEPRAZOLE OSUS 40MG 30UD DR","11037","CIPLA USA INC CS","","",18,2021-05-28,2021-06-15,7.88,7,7,12,12,"Generics","992","Y","ESOMEPRAZOLE MAGNESIUM","98031","GENERIC DRUG","PROTON-PUMP INHIBITORS","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",30,"98031002",1,"PRIMARY, PRIMARY, PRIMARY","OV, OV, OV","5609243064D",2021-11-01,14.84,234.14
"3201","006D","3672268","633","CAMERON HOWARD","4375122","00409230801","MIDAZOLAM 5MG/ML 10X1ML PFL C4","57147","PFIZER INJECTABLE SI","","",27,2021-09-02,2021-09-29,3.53,7,7,35,20,"Generics","992","Y","MIDAZOLAM HCL","33456","GENERIC DRUG","BENZODIAZEPINES (ANXIOLYTIC,SEDATIV/HYP)","4","yes","SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",10,"33456000",10,NA,NA,"3672268006D",2021-11-01,35.43,10.45
"3202","015D","5102520","633","CAMERON HOWARD","4174833","69097015812","MELOXICAM 7.5MG 500","11037","CIPLA USA INC CS","","",3,2021-05-03,2021-05-06,3.81,4,4,24,24,"Generics","0","N","MELOXICAM","31661","GENERIC DRUG","OTHER NONSTEROIDAL ANTI-INFLAM. AGENTS","2","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",500,"31661002",1,NA,"WH, WH, WH","5102520015D",2021-11-01,9.78,19.4
"3203","064D","5258991","633","CAMERON HOWARD","4391545","69097083312","SERTRALINE HCL 25MG 500","11037","CIPLA USA INC CS","","",15,2021-09-13,2021-09-28,5.47,7,7,24,24,"Generics","998","Y","SERTRALINE HCL","16373","GENERIC DRUG","ANTIDEPRESSANTS, MISCELLANEOUS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",500,"16373005",1,NA,"WH, WH, WH","5258991064D",2021-11-01,10.47,36.9
"3204","080D","5483060","628","JEANNINE ROGERS","4293095","69543037110","PALONOSETRON HCL0.05MG/ML 10X5","11090","VIRTUS PHARMACEUTICAL DELAWARE","","",5,2021-07-15,2021-07-20,5.58,7,7,6,6,"Generics","0","N","PALONOSETRON HCL","20228","GENERIC DRUG","5-HT3 RECEPTOR ANTAGONISTS",NA,"yes","SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",50,"20228002",10,NA,NA,"5483060080D",2021-11-01,1.21,435.56
"3205","064D","5510052","634","CHRISTOPHER PELT","0374421","72205000590","ROSUVASTATIN 40MG 90","57440","NOVADOZ PHARMACEUTICALS LLC CS","","",7,2021-08-03,2021-08-10,5.59,6,5,24,24,"Generics","0","N","ROSUVASTATIN CALCIUM","19155","GENERIC DRUG","HMG-COA REDUCTASE INHIBITORS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",90,"19155003",1,NA,"WH, WH, WH","5510052064D",2021-11-01,48.91,15
"3206","015D","5582705","632","ADAM STEMM","4264786","70954021210","TRIHEXYPHENIDYL 2MG 100","57300","NOVITIUM PHARMA LLC CS","","",2,2021-06-28,2021-06-30,1.83,7,5,144,144,"Generics","0","Y","TRIHEXYPHENIDYL HCL","17561","GENERIC DRUG","ANTICHOLINERGIC AGENTS (CNS)","2","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",100,"17561002",1,NA,"WH, WH, WH","5582705015D",2021-11-01,52.72,15.04
"3207","064D","5272935","632","ADAM STEMM","0371607","33342011110","MONTELUKAST SODIUM 5MG 90","10556","MACLEODS PHARMA USA INC CS","","",8,2021-06-22,2021-06-30,9.69,8,8,160,160,"Generics","0","N","MONTELUKAST SODIUM","94440","GENERIC DRUG","LEUKOTRIENE MODIFIERS","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",90,"94440002",1,NA,"WH, WH, WH","5272935064D",2021-11-01,166.14,44.6
"3208","099D","4993713","624","ASHLEY BOLTZ","4449261","67457045010","CLADRIBINE 1MG/ML 10ML","04755","MYLAN INSTITUTIONAL LLC","","REFER",3,2021-10-18,2021-10-21,3,3,3,84,84,"Generics","0","N","CLADRIBINE","880","GENERIC DRUG","ANTINEOPLASTIC AGENTS",NA,"yes","GENERIC DRUG","CENTRALIZED",10,"00880000",1,NA,NA,"4993713099D",2021-11-01,62.91,350
"3209","003D","3638921","624","ASHLEY BOLTZ","4355894","00378912398","FENTANYL 75MCG/HR 5 C2","02545","MYLAN PHARM CS","NC","OPIOID",8,2021-08-23,2021-08-31,4.74,7,7,168,168,"Generics","0","Y","FENTANYL","19202","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE B - IN SCOPE","CENTRALIZED",5,"19202001",1,"PRIMARY, PRIMARY, PRIMARY","C2, C2, C2","3638921003D",2021-11-01,172.42,100.1
"3210","064D","4253605","628","JEANNINE ROGERS","4354931","10702000801","OXYCODONE HCL 15MG 100 IR C2","09283","KVK TECH INC CS","PA","",4,2021-08-23,2021-08-27,6.13,8,8,384,384,"Generics","998","Y","OXYCODONE HCL","20091","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",100,"20091093",1,"PRIMARY, PRIMARY, NO FORM","C2, C2, C2","4253605064D",2021-11-01,387.8,15
"3211","064D","4096707","632","ADAM STEMM","4454897","13668000710","ZOLPIDEM TART 5MG 1000 C4","09196","TORRENT PHARMA INC CS","","",5,2021-10-20,2021-10-25,4.61,7,7,24,24,"Generics","0","N","ZOLPIDEM TARTRATE","870","GENERIC DRUG","ANXIOLYTICS,SEDATIVES,AND HYPNOTICS,MISC","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",1000,"00870005",1,NA,NA,"4096707064D",2021-11-01,23.49,90
"3212","099D","4251054","624","ASHLEY BOLTZ","4260787","65862008001","GLYBUR/MET 1.25-250MG 100 CPLT","04898","AUROBINDO PHARMA USA CS","","",6,2021-06-25,2021-07-01,4.14,4,4,48,48,"Generics","0","Y","GLYBURIDE/METFORMIN HCL","89878","GENERIC DRUG","SULFONYLUREAS","2","yes","SOURCE A - IN SCOPE","CENTRALIZED",100,"89878001",1,"PRIMARY, PRIMARY, PRIMARY","WH, , WH","4251054099D",2021-11-01,44.36,8.55
"3213","018D","2219251","630","CODY DIERCKS","4246833","00338011703","LACTATED RINGERS 24X500ML VF","00157","BAXTER IV SYSTEMS","","",1,2021-06-16,2021-06-17,1.93,1,1,10,10,"Generics","921","N","LACTATED RINGERS","2840","GENERIC DRUG","REPLACEMENT PREPARATIONS",NA,"yes","SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",12000,"02840050",24,NA,NA,"2219251018D",2021-11-01,13.5,101.55
"3214","099D","5001847","632","ADAM STEMM","4319947","00832107330","TOPIRAMATE 200MG 30 ER","02610","UPSHER SMITH LABS LLC CS","","",2,2021-08-02,2021-08-04,2.23,4,4,72,72,"Generics","0","N","TOPIRAMATE","36235","GENERIC DRUG","ANTICONVULSANTS, MISCELLANEOUS",NA,"yes","GENERIC DRUG","CENTRALIZED",30,"36235000",1,"PRIMARY, NO FORM, PRIMARY",", ,","5001847099D",2021-11-01,90.76,774.2
"3215","095D","5324124","633","CAMERON HOWARD","4197098","69097045805","FENOFIBRATE 145MG 90","11037","CIPLA USA INC CS","","",7,2021-05-17,2021-05-24,4.13,4,4,96,72,"Generics","998","Y","FENOFIBRATE","97003","GENERIC DRUG","FIBRIC ACID DERIVATIVES","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",90,"97003000",1,"NO FORM, PRIMARY, NO FORM","WH, WH, WH","5324124095D",2021-11-01,117.08,38.1
"3216","099D","4981759","633","CAMERON HOWARD","4437730","59762673101","AMLOD/ATORVST 10-20MG 30","04618","PRASCO LABS CS","","",2,2021-10-11,2021-10-13,2.75,3,3,12,12,"Generics","0","N","AMLODIPINE BESYL/ATORVASTATIN","21396","GENERIC DRUG","HMG-COA REDUCTASE INHIBITORS",NA,"yes","SOURCE B - IN SCOPE","CENTRALIZED",30,"21396000",1,NA,"WH, WH, WH","4981759099D",2021-11-01,9.24,168.25
"3217","032D","5499041","625","JEFF MEGYESI","4414858","27241014401","SILODOSIN 4MG 30","10863","AJANTA PHARMA USA INC CS","","",6,2021-09-27,2021-10-03,5.42,8,8,300,156,"Generics","0","N","SILODOSIN","16857","GENERIC DRUG","SELECTIVE ALPHA-1-ADRENERGIC BLOCK.AGENT","2","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",30,"16857000",1,NA,"OV, OV, OV","5499041032D",2021-11-01,119.68,60
"3218","064D","5142633","628","JEANNINE ROGERS","0371006","76204060030","ALBUT/IPRAT2.5-0.5MG/3ML30X3UD","10352","RITEDOSE PHARMACEUTICALS CS","","",5,2021-06-14,2021-06-19,11.18,7,7,96,96,"Generics","0","N","ALBUTEROL/IPRATROPIUM","13456","GENERIC DRUG","ANTIMUSCARINICS/ANTISPASMODICS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",90,"13456012",30,NA,"WH, WH, WH","5142633064D",2021-11-01,88.26,12
"3219","064D","5462486","632","ADAM STEMM","4360601","43547040350","FUROSEMIDE 80MG 500","09614","SOLCO HEALTHCARE US LLC CS","","",15,2021-08-25,2021-09-09,9.34,8,8,36,36,"Generics","0","N","FUROSEMIDE","34963","GENERIC DRUG","LOOP DIURETICS","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",500,"34963006",1,"NO FORM, PRIMARY, NO FORM","WH, WH, WH","5462486064D",2021-11-01,15.25,33.05
"3220","010D","4378113","632","ADAM STEMM","4275710","61442012110","FAMOTIDINE 20MG 1000","09748","CARLSBAD TECHNOLOGY INC CS","","",5,2021-07-02,2021-07-07,7.69,10,8,12,12,"Generics","0","N","FAMOTIDINE","46430","GENERIC DRUG","HISTAMINE H2-ANTAGONISTS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",1000,"46430007",1,NA,"OV, OV, OV","4378113010D",2021-11-01,1.31,61.72
"3221","099D","5478094","628","JEANNINE ROGERS","4331606","49884004801","DEXMETHYLPHD ER 5MG 100 C2","02546","PAR PHARM CS","TN","",3,2021-08-09,2021-08-12,3.73,3,3,120,120,"Generics","0","N","DEXMETHYLPHENIDATE HCL","24733","GENERIC DRUG","RESPIRATORY AND CNS STIMULANTS","2","yes","SOURCE B - IN SCOPE","CENTRALIZED",100,"24733001",1,NA,"C2, C2, C2","5478094099D",2021-11-01,181.78,624.36
"3222","064D","5420005","625","JEFF MEGYESI","4347173","69367018205","METFORMIN 1000MG 500","11012","WESTMINSTER PHARMACEUTICALS CS","","",8,2021-08-17,2021-08-25,4.2,6,4,12,12,"Generics","0","N","METFORMIN HCL","10857","GENERIC DRUG","BIGUANIDES",NA,"yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",500,"10857000",1,NA,"WH, WH, WH","5420005064D",2021-11-01,12.79,49.6
"3223","026D","4928271","630","CODY DIERCKS","4262956","36000003310","METOPROLOL TART 1MG/ML 10X5ML","09384","CLARIS BAXTER","","",2,2021-06-28,2021-06-30,4.87,3,3,180,180,"Generics","0","Y","METOPROLOL TARTRATE","12241","GENERIC DRUG","BETA-ADRENERGIC BLOCKING AGENTS",NA,"yes","SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",50,"12241000",10,NA,NA,"4928271026D",2021-11-01,141.48,13
"3224","064D","5099130","632","ADAM STEMM","4408362","43547035610","LISINOPRIL 40MG 100 CPLT","09614","SOLCO HEALTHCARE US LLC CS","","",12,2021-09-22,2021-10-04,12.75,8,8,48,48,"Generics","0","N","LISINOPRIL","47263","GENERIC DRUG","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",100,"47263001",1,NA,"WH, WH, WH","5099130064D",2021-11-01,40.74,16
"3225","099D","5472352","624","ASHLEY BOLTZ","4419530","51525011501","HYOSCY SULF ER 0.375MG 100 OPM","02545","MYLAN PHARM CS","","OPM",5,2021-09-29,2021-10-04,2.67,2,2,48,48,"Generics","0","Y","HYOSCYAMINE SULFATE","18960","GENERIC DRUG","ANTIMUSCARINICS/ANTISPASMODICS",NA,"yes","SOURCE A - IN SCOPE","CENTRALIZED",100,"18960004",1,NA,"WH, WH, WH","5472352099D",2021-11-01,0.2,79
"3226","099D","5031307","628","JEANNINE ROGERS","4391635","60505084505","OLOPATADINE HCL 665MCG 30.5GM","02775","APOTEX CORP CS","","",4,2021-09-13,2021-09-17,4.11,4,4,48,48,"Generics","0","N","OLOPATADINE HCL","99602","GENERIC DRUG","ANTIALLERGIC AGENTS","2","yes","SOURCE B - IN SCOPE","CENTRALIZED",30,"99602001",1,"NO FORM, PRIMARY, NO FORM","WH, WH, WH","5031307099D",2021-11-01,136.32,90
"3227","064D","5548185","632","ADAM STEMM","0371279","13668056530","TADALAFIL 2.5MG 30","09196","TORRENT PHARMA INC CS","","",8,2021-06-16,2021-06-24,7.57,7,7,24,24,"Generics","0","N","TADALAFIL","99409","GENERIC DRUG","PHOSPHODIESTERASE TYPE 5 INHIBITORS",NA,"yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",30,"99409000",1,NA,"OV, OV, OV","5548185064D",2021-11-01,11.87,18.13
"3228","008D","5658349","634","CHRISTOPHER PELT","4267757","75834022101","CARBAMAZEPINE 200MG 100","10968","NIVAGEN PHARMACEUTICALS CS","","",13,2021-06-29,2021-07-12,5.49,6,6,300,300,"Generics","0","Y","CARBAMAZEPINE","17450","GENERIC DRUG","ANTICONVULSANTS, MISCELLANEOUS","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",100,"17450003",1,NA,"WH, WH, WH","5658349008D",2021-11-01,173.39,15
"3229","064D","5097720","628","JEANNINE ROGERS","0369149","10702005650","OXYCODONE HCL 10MG 500 IR C2","09283","KVK TECH INC CS","PA","",4,2021-05-17,2021-05-21,8,8,8,12,12,"Generics","992","Y","OXYCODONE HCL","16291","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",500,"16291003",1,NA,"C2, C2, C2","5097720064D",2021-11-01,23.8,80
"3230","015D","3698610","633","CAMERON HOWARD","4403420","00409230850","MIDAZOLAM 5MG/ML 10X2ML NVP C4","57147","PFIZER INJECTABLE SI","","",2,2021-09-20,2021-09-22,2.52,4,4,30,30,"Generics","0","N","MIDAZOLAM HCL","33457","GENERIC DRUG","BENZODIAZEPINES (ANXIOLYTIC,SEDATIV/HYP)",NA,"yes","GENERIC DRUG","NOT CENTRALIZED",20,"33457000",10,NA,NA,"3698610015D",2021-11-01,1.68,11.11
"3231","043D","4864922","627","LISA POSTON","4286001","44567070125","CEFTRIAXONE SODIUM 1GM 25","10521","W G CRITICAL CARE","","",8,2021-07-12,2021-07-20,7.43,7,6,8,8,"Generics","0","N","CEFTRIAXONE SODIUM","39962","GENERIC DRUG","CEPHALOSPORINS",NA,"yes","GENERIC DRUG","NOT CENTRALIZED",25,"39962007",25,NA,"OV, OV, OV","4864922043D",2021-11-01,41.34,75
"3232","027D","4994067","630","CODY DIERCKS","4318905","36000004624","LEVOFLOXACIN 250MG 24X50ML LF","09384","CLARIS BAXTER","","",3,2021-08-02,2021-08-05,3.6,3,3,3,3,"Generics","950","Y","LEVOFLOXACIN/D5W","47072","GENERIC DRUG","QUINOLONES",NA,NA,"SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",1200,"47072001",24,NA,NA,"4994067027D",2021-11-01,0.89,96
"3233","099D","5552757","630","CODY DIERCKS","4386315","00703713103","HALOPERIDOL DEC 100MG/ML10X1ML","05267","TEVA PHARM USA","","",13,2021-09-09,2021-09-22,3.56,7,7,120,120,"Generics","996","Y","HALOPERIDOL DECANOATE","14781","GENERIC DRUG","ANTIPSYCHOTICS, MISCELLANEOUS","2","yes","SOURCE A - OUT OF SCOPE","CENTRALIZED",10,"14781002",10,NA,NA,"5552757099D",2021-11-01,134.07,437
"3234","015D","1547082","630","CODY DIERCKS","4253805","00338065604","ACETIC ACID0.25% 12X1000ML PBT","00157","BAXTER IV SYSTEMS","","",1,2021-06-21,2021-06-22,1,2,2,1,3,"Generics","996","Y","ACETIC ACID","45390","GENERIC DRUG","IRRIGATING SOLUTIONS",NA,NA,"SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",12000,"45390004",12,NA,NA,"1547082015D",2021-11-01,3.31,77.82
"3235","099D","2757078","630","CODY DIERCKS","4426223","00472011745","TRETINOIN 0.025% 45GM","02543","TEVA PHARMA CS","","",7,2021-10-04,2021-10-11,4.51,6,6,144,144,"Generics","992","Y","TRETINOIN","22882","GENERIC DRUG","CELL STIMULANTS AND PROLIFERANTS","4","yes","SOURCE B - IN SCOPE","CENTRALIZED",45,"22882004",1,NA,"WH, WH, WH","2757078099D",2021-11-01,127.43,158.49
"3236","035D","5250444","699","NO BUYER ASSIGNED","4206909","69315090510","LORAZEPAM 1MG 1000 C4","11002","LEADING PHARMA LLC CS NCB","","",37,2021-05-24,2021-06-30,8.16,9,2,24,24,"MISC","992","Y","LORAZEPAM","14161","GENERIC DRUG","BENZODIAZEPINES (ANXIOLYTIC,SEDATIV/HYP)","4","yes","SOURCE A - IN SCOPE","CENTRALIZED",1000,"14161009",1,NA,"WH, WH, WH","5250444035D",2021-11-01,11.35,80.47
"3237","099D","5423207","624","ASHLEY BOLTZ","4358527","65862076990","FENOFIBRATE 145MG 90","04898","AUROBINDO PHARMA USA CS","","",4,2021-08-24,2021-08-28,4.47,4,4,192,192,"Generics","0","Y","FENOFIBRATE","97003","GENERIC DRUG","FIBRIC ACID DERIVATIVES",NA,"yes","GENERIC DRUG","CENTRALIZED",90,"97003000",1,NA,"WH, WH, WH","5423207099D",2021-11-01,217.13,38.1
"3238","099D","2575579","628","JEANNINE ROGERS","4433165","50383079216","VALPROIC ACID 250MG/5ML 473ML","10937","AKORN OPTHALMICS HI TECH CS","","",7,2021-10-07,2021-10-14,7.64,7,7,192,192,"Generics","996","Y","VALPROIC ACID","17280","GENERIC DRUG","ANTICONVULSANTS, MISCELLANEOUS","4","yes","SOURCE B - IN SCOPE","CENTRALIZED",480,"17280013",1,NA,"WH, WH, WH","2575579099D",2021-11-01,342.88,19
"3239","064D","3526621","628","JEANNINE ROGERS","0370980","60951071270","ENDOCET 10-325MG 100 C2","02546","PAR PHARM CS","TN","OPIOID",8,2021-06-14,2021-06-22,4.33,3,3,456,456,"Generics","0","N","OXYCODONE/ACETAMIN","14966","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE B - IN SCOPE","CENTRALIZED",100,"14966000",1,NA,"C2, C2, C2","3526621064D",2021-11-01,530.44,142.34
"3240","006D","5672514","625","JEFF MEGYESI","4461397","27241015402","DOXYCYCLINE HYCL 150MG 60 CPLT","10863","AJANTA PHARMA USA INC CS","","",4,2021-10-25,2021-10-29,4,4,4,12,12,"Generics","0","N","DOXYCYCLINE HYCLATE","36906","GENERIC DRUG","TETRACYCLINES","2","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",60,"36906000",1,"PRIMARY, PRIMARY, PRIMARY","OV, OV, OV","5672514006D",2021-11-01,2.54,60
"3241","064D","5005574","627","LISA POSTON","0374695","65162062710","TRAMADOL HCL 50MG 100 C4","04511","AMNEAL PHARMACEUTICALS LLC CS","","OPIOID",3,2021-08-09,2021-08-12,2.91,3,2,24,24,"Generics","0","N","TRAMADOL HCL","7221","GENERIC DRUG","OPIATE AGONISTS",NA,"yes","SOURCE B - IN SCOPE","CENTRALIZED",100,"07221001",1,NA,NA,"5005574064D",2021-11-01,14.28,10.99
"3242","003D","4871489","628","JEANNINE ROGERS","4328818","76204060001","ALBUT/IPRAT 2.5-0.5 30UD 1/PCH","10352","RITEDOSE PHARMACEUTICALS CS","","",2,2021-08-09,2021-08-11,5.29,7,6,132,132,"Generics","0","N","ALBUTEROL/IPRATROPIUM","13456","GENERIC DRUG","ANTIMUSCARINICS/ANTISPASMODICS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",90,"13456012",30,NA,"WH, WH, WH","4871489003D",2021-11-01,101.37,19.5
"3243","019D","5507405","628","JEANNINE ROGERS","4214385","69680011225","CYANOCOBAL 1000MCG/ML 25X1ML","57386","VITRUVIAS THERAPEUTICS INC","","",11,2021-05-27,2021-06-07,6.74,4,4,24,20,"Generics","0","Y","CYANOCOBALAMIN (VITA B12)","94594","GENERIC DRUG","VITAMIN B COMPLEX","4","yes","SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",25,"94594023",25,NA,NA,"5507405019D",2021-11-01,31.76,80.5
"3244","064D","5014295","627","LISA POSTON","0370534","53746010901","HYDROCOD/APAP 5-325MG 100 C2","04511","AMNEAL PHARMACEUTICALS LLC CS","KY","OPIOID",3,2021-06-07,2021-06-10,3.07,3,2,72,72,"Generics","0","N","HYDROCOD/ACETAMIN","12486","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE A - IN SCOPE","CENTRALIZED",100,"12486000",1,"PRIMARY, NO FORM, PRIMARY","C2, C2, C2","5014295064D",2021-11-01,95.36,18
"3245","064D","5102165","633","CAMERON HOWARD","0372370","69097012815","AMLODIPINE BESYLATE 10MG 1000","11037","CIPLA USA INC CS","","",14,2021-07-02,2021-07-16,6.79,7,7,480,48,"Generics","0","N","AMLODIPINE BESYLATE","2682","GENERIC DRUG","DIHYDROPYRIDINES","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",1000,"02682005",1,NA,NA,"5102165064D",2021-11-01,488.81,30.85
"3246","018D","4889028","627","LISA POSTON","4181667","54879000201","ETHAMBUTOL 400MG 100","10621","STI PHARMA CS","","",5,2021-05-07,2021-05-12,5,7,7,12,12,"Generics","992","Y","ETHAMBUTOL HCL","41801","GENERIC DRUG","ANTITUBERCULOSIS AGENTS",NA,"yes","GENERIC DRUG","NOT CENTRALIZED",100,"41801001",1,NA,"WH, WH, WH","4889028018D",2021-11-01,3.54,60
"3247","064D","4349312","632","ADAM STEMM","0372618","13668009390","PRAMIPEXOLE DI-HCL 0.5MG 90","09196","TORRENT PHARMA INC CS","","",12,2021-07-07,2021-07-19,8.23,7,7,48,48,"Generics","0","N","PRAMIPEXOLE DI-HCL","19875","GENERIC DRUG","NONERGOT-DERIV.DOPAMINE RECEPTOR AGONIST","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",90,"19875000",1,NA,"WH, WH, WH","4349312064D",2021-11-01,34.83,13.25
"3248","064D","5590377","632","ADAM STEMM","0370595","70954005810","PREDNISONE 5MG 100","57300","NOVITIUM PHARMA LLC CS","","",2,2021-06-07,2021-06-09,2.15,7,6,216,216,"Generics","0","N","PREDNISONE","27176","GENERIC DRUG","ADRENALS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",100,"27176004",1,NA,"WH, WH, WH","5590377064D",2021-11-01,89.09,14.33
"3249","064D","4949681","632","ADAM STEMM","4404212","47781026405","OXYCODONE HCL 15MG 500 IR C2","57629","ALVOGEN CS OPD","KY","OPIOID",8,2021-09-20,2021-09-28,7.81,7,7,36,36,"Generics","0","N","OXYCODONE HCL","20091","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE A - IN SCOPE","CENTRALIZED",500,"20091095",1,NA,"C2, C2, C2","4949681064D",2021-11-01,51.32,132.12
"3250","011D","5610480","632","ADAM STEMM","4194382","70756040611","CLOMIPRAMINE HCL 50MG 100","57201","LIFESTAR PHARMA LLC CS","","",7,2021-05-17,2021-05-24,7.66,7,5,48,48,"Generics","0","N","CLOMIPRAMINE HCL","16603","GENERIC DRUG","ANTIDEPRESSANTS, MISCELLANEOUS",NA,"yes","GENERIC DRUG","NOT CENTRALIZED",100,"16603000",1,"NO FORM, PRIMARY, NO FORM","WH, WH, WH","5610480011D",2021-11-01,19.48,316.62
